Date,AP005,BR007,DL017,DL025,DL030,GJ001,PB001,TG001,TG002,TG003,TG004,TG005,TG006
2018-02-22,3.6,1.69,0.0,2.22,0.0,30.26,5.83,0.08,9.77,0.32,0.01,1.51,1.18
2018-02-23,3.38,1.47,0.0,0.01,0.0,40.05,5.94,0.1,10.19,0.48,0.04,1.65,0.88
2018-02-24,9.54,1.55,0.0,1.0,0.0,28.19,5.48,0.12,6.87,0.29,0.11,0.4,0.65
2018-02-25,8.39,1.17,0.0,0.8,0.0,16.33,5.335000000000001,0.1,9.86,0.59,0.17,1.8,0.71
2018-02-26,4.33,1.12,0.0,0.22,0.0,15.72,5.19,0.26,12.6,0.45,0.4,7.73,0.89
2018-02-27,3.35,0.8,0.0,0.24,0.0,18.38,5.83,0.21,15.63,0.68,0.53,5.18,1.23
2018-02-28,3.96,0.87,0.0,1.05,0.0,18.76,5.89,0.24,14.92,1.04,0.96,5.72,0.77
2018-03-01,3.79,0.74,0.0,2.24,0.0,17.01,6.22,0.35,12.54,0.72,0.29,5.12,1.34
2018-03-02,2.52,0.53,0.0,3.07,0.0,16.62,4.94,0.3,8.67,0.51,0.05,4.98,0.91
2018-03-03,2.28,0.36,0.0,2.29,0.0,13.17,5.72,0.2,7.07,0.32,0.93,1.65,0.37
2018-03-04,2.05,0.59,0.0,0.56,0.0,12.58,5.17,0.27,7.64,0.28,0.22,2.54,0.55
2018-03-05,2.99,0.69,0.0,0.0,0.0,11.58,5.16,0.1,7.54,0.24,0.0,1.62,0.68
2018-03-06,2.12,0.62,0.0,0.0,0.0,19.35,3.68,0.08,5.67,0.3,0.14,0.84,0.55
2018-03-07,3.57,0.74,0.0,0.0,0.0,13.31,1.86,0.04,6.04,0.14,0.07,0.73,2.14
2018-03-08,1.57,0.98,0.0,0.0,0.0,13.24,1.25,0.07,6.88,0.2366666666666667,0.21,0.97,0.6
